ID,DT_Dec,Year_Dec,Month_Dec,Day_Dec,DEC,Flag_Approved,Channel,Age,State,Income,Spend @M4,
6803,12/10/2022,2022,10,12,A,1,ONLINE,45,Jalisco," 1,212 "," 1,122 ",
6804,26/10/2022,2022,10,26,A,1,TMK,79,Nuevo Leon," 2,121 "," 7,431 ",
6805,26/10/2022,2022,10,26,A,1,ONLINE,48,Quintana Roo," 3,636 "," 18,215 ",
6806,04/11/2022,2022,11,4,A,1,TMK,73,Quintana Roo," 1,515 ", 728 ,
6807,09/11/2022,2022,11,9,A,1,ONLINE,39,Jalisco," 2,121 ", 468 ,
6808,01/11/2022,2022,11,1,A,1,ONLINE,38,," 1,818 ", 735 ,
6809,24/11/2022,2022,11,24,A,1,TMK,85,Hidalgo," 2,424 ", 470 ,
6810,05/09/2022,2022,9,5,A,1,ONLINE,39,," 1,818 "," 1,333 ",
6811,05/10/2022,2022,10,5,A,1,TMK,50,Coahuila de Zaragoza," 3,030 ", 276 ,
6812,28/11/2022,2022,11,28,A,1,ONLINE,43,Veracruz de Ignacio de la Llave," 3,030 "," 1,297 ",
6813,18/10/2022,2022,10,18,A,1,TMK,33,Tamaulipas," 2,121 "," 1,190 ",
6814,07/09/2022,2022,9,7,A,1,ONLINE,45,," 1,212 ", 70 ,
6815,28/11/2022,2022,11,28,A,1,ONLINE,34,Jalisco," 1,212 ", 863 ,
6816,24/09/2022,2022,9,24,A,1,ONLINE,41,Nuevo Leon, 909 , 46 ,
6817,15/09/2022,2022,9,15,A,1,ONLINE,38,Estado de Mexico," 1,939 ", 424 ,
6818,02/09/2022,2022,9,2,A,1,ONLINE,37,," 1,818 ", 681 ,
6819,15/09/2022,2022,9,15,A,1,TMK,46,Chihuahua," 1,818 ", 660 ,
6820,15/09/2022,2022,9,15,A,1,TMK,37,Sinaloa," 1,818 "," 1,323 ",
6821,24/09/2022,2022,9,24,A,1,ONLINE,31,Jalisco," 1,515 "," 1,335 ",
6822,18/11/2022,2022,11,18,A,1,ONLINE,47,Morelos," 1,879 "," 3,302 ",
6823,26/11/2022,2022,11,26,A,1,TMK,61,Estado de Mexico," 1,515 ", 367 ,
6824,09/11/2022,2022,11,9,A,1,TMK,41,Jalisco," 1,818 ", 117 ,
6825,01/11/2022,2022,11,1,A,1,ONLINE,42,," 2,121 ", 477 ,
6826,01/11/2022,2022,11,1,A,1,ONLINE,36,," 1,515 "," 1,261 ",
6827,02/09/2022,2022,9,2,A,1,ONLINE,71,," 3,333 "," 4,849 ",
6828,21/10/2022,2022,10,21,A,1,TMK,45,San Luis Potosi," 1,818 "," 1,352 ",
6829,21/10/2022,2022,10,21,A,1,TMK,51,Estado de Mexico," 6,061 ", 168 ,
6830,05/10/2022,2022,10,5,A,1,TMK,50,Nuevo Leon," 1,758 "," 3,046 ",
6831,07/09/2022,2022,9,7,A,1,ONLINE,50,," 2,121 "," 4,303 ",
6832,26/11/2022,2022,11,26,A,1,TMK,60,Coahuila de Zaragoza," 1,818 "," 3,060 ",
6833,13/09/2022,2022,9,13,A,1,ONLINE,71,Ciudad de Mexico," 2,455 "," 8,158 ",
6834,04/11/2022,2022,11,4,A,1,TMK,60,Colima," 1,758 "," 1,610 ",
6835,09/11/2022,2022,11,9,A,1,TMK,60,San Luis Potosi," 2,788 ", 675 ,
6836,19/09/2022,2022,9,19,A,1,TMK,70,Sonora," 2,364 "," 1,910 ",
6837,09/11/2022,2022,11,9,A,1,TMK,37,Aguascalientes," 1,582 "," 2,239 ",
6838,05/11/2022,2022,11,5,A,1,TMK,60,Quintana Roo," 4,727 ", 771 ,
6839,05/11/2022,2022,11,5,A,1,ONLINE,68,," 1,515 ", 570 ,
6840,19/09/2022,2022,9,19,A,1,TMK,70,Chiapas," 1,394 ", 387 ,
6841,26/10/2022,2022,10,26,A,1,TMK,65,Baja California," 2,121 "," 3,725 ",
6842,15/09/2022,2022,9,15,A,1,TMK,52,Estado de Mexico," 3,030 ", 737 ,
6843,18/11/2022,2022,11,18,A,1,ONLINE,56,Estado de Mexico," 2,121 "," 1,264 ",
6844,10/10/2022,2022,10,10,A,1,ONLINE,39,," 1,515 ", 167 ,
6845,18/10/2022,2022,10,18,A,1,ONLINE,39,Jalisco," 1,515 ", 441 ,
6846,14/11/2022,2022,11,14,A,1,TMK,45,Veracruz de Ignacio de la Llave," 2,121 ", 888 ,
6847,07/09/2022,2022,9,7,A,1,ONLINE,39,Ciudad de Mexico," 3,636 "," 8,212 ",
6848,07/10/2022,2022,10,7,A,1,ONLINE,36,Baja California," 1,515 ", 801 ,
6849,14/11/2022,2022,11,14,A,1,TMK,52,Quintana Roo," 3,030 ", 857 ,
6850,07/10/2022,2022,10,7,A,1,ONLINE,47,Campeche," 2,061 "," 3,625 ",
6851,09/11/2022,2022,11,9,A,1,ONLINE,31,Estado de Mexico," 2,121 ", 696 ,
6852,27/09/2022,2022,9,27,A,1,TMK,40,Estado de Mexico," 2,727 ", 772 ,
6853,25/10/2022,2022,10,25,A,1,ONLINE,63,," 4,848 ", 949 ,
6854,13/09/2022,2022,9,13,A,1,ONLINE,41,Chihuahua," 3,636 "," 6,213 ",
6855,09/11/2022,2022,11,9,A,1,TMK,59,Chihuahua," 1,697 ", 972 ,
6856,15/09/2022,2022,9,15,A,1,ONLINE,32,Estado de Mexico, 909 ," 3,419 ",
6857,30/09/2022,2022,9,30,A,1,ONLINE,42,Nuevo Leon," 1,030 ", 930 ,
6858,10/10/2022,2022,10,10,A,1,TMK,44,Campeche," 1,515 ", 656 ,
6859,15/09/2022,2022,9,15,A,1,TMK,51,Jalisco," 2,727 "," 1,096 ",
6860,10/10/2022,2022,10,10,A,1,TMK,41,Sonora," 1,515 "," 1,138 ",
6861,26/11/2022,2022,11,26,A,1,TMK,48,Baja California," 5,152 "," 2,925 ",
6862,01/11/2022,2022,11,1,A,1,ONLINE,46,," 4,061 "," 3,558 ",
6863,10/10/2022,2022,10,10,A,1,ONLINE,45,Estado de Mexico," 2,727 "," 2,418 ",
6864,09/11/2022,2022,11,9,A,1,TMK,33,Quintana Roo," 1,636 "," 2,597 ",
6865,10/11/2022,2022,11,10,A,1,TMK,35,Ciudad de Mexico," 2,121 "," 1,743 ",
6866,18/11/2022,2022,11,18,A,1,TMK,46,Ciudad de Mexico," 1,818 ", 45 ,
6867,01/11/2022,2022,11,1,A,1,ONLINE,37,," 4,364 ", 802 ,
6868,02/09/2022,2022,9,2,A,1,ONLINE,33,, 970 ," 1,118 ",
6869,02/09/2022,2022,9,2,A,1,ONLINE,55,," 6,061 "," 2,990 ",
6870,01/11/2022,2022,11,1,A,1,ONLINE,58,," 12,121 "," 8,853 ",
6871,28/10/2022,2022,10,28,A,1,TMK,38,Guanajuato," 2,121 ", 885 ,
6872,28/11/2022,2022,11,28,A,1,TMK,55,Zacatecas," 1,030 ", 545 ,
6873,18/10/2022,2022,10,18,A,1,TMK,68,Jalisco," 1,212 ", 326 ,
6874,19/11/2022,2022,11,19,A,1,ONLINE,43,Coahuila de Zaragoza," 2,121 ", 42 ,
6875,28/10/2022,2022,10,28,A,1,ONLINE,38,Ciudad de Mexico," 15,152 "," 11,502 ",
6876,01/11/2022,2022,11,1,A,1,ONLINE,45,," 3,042 ", 558 ,
6877,18/10/2022,2022,10,18,A,1,ONLINE,44,Ciudad de Mexico," 3,030 "," 1,886 ",
6878,10/11/2022,2022,11,10,A,1,ONLINE,71,," 1,758 ", 859 ,
6879,22/10/2022,2022,10,22,A,1,ONLINE,51,Quintana Roo," 6,061 "," 5,278 ",
6880,26/11/2022,2022,11,26,A,1,ONLINE,38,Michoacan de Ocampo," 2,424 "," 2,497 ",
6881,02/09/2022,2022,9,2,A,1,ONLINE,51,," 1,818 "," 2,028 ",
6882,13/09/2022,2022,9,13,A,1,TMK,43,Nuevo Leon," 5,455 "," 1,046 ",
6883,05/10/2022,2022,10,5,A,1,TMK,41,Coahuila de Zaragoza," 1,697 "," 1,303 ",
6884,18/11/2022,2022,11,18,A,1,TMK,31,Chihuahua," 3,636 "," 2,510 ",
6885,03/11/2022,2022,11,3,A,1,TMK,58,," 1,758 ", 161 ,
6886,10/10/2022,2022,10,10,A,1,ONLINE,63,Tamaulipas," 1,818 ", 611 ,
6887,22/10/2022,2022,10,22,A,1,ONLINE,36,Hidalgo," 12,121 "," 1,107 ",
6888,28/10/2022,2022,10,28,A,1,ONLINE,53,Jalisco," 6,061 ", 603 ,
6889,07/10/2022,2022,10,7,A,1,TMK,35,Estado de Mexico," 1,758 ", 387 ,
6890,16/11/2022,2022,11,16,A,1,ONLINE,58,Nuevo Leon," 11,515 "," 1,368 ",
6891,25/10/2022,2022,10,25,A,1,ONLINE,74,Aguascalientes," 2,358 ", 307 ,
6892,10/11/2022,2022,11,10,A,1,ONLINE,45,Nuevo Leon," 1,667 ", 757 ,
6893,06/09/2022,2022,9,6,A,1,ONLINE,38,, 970 , 915 ,
6894,28/11/2022,2022,11,28,A,1,TMK,63,Chiapas," 1,212 ", 862 ,
6895,18/11/2022,2022,11,18,A,1,TMK,63,Jalisco," 15,152 ", 773 ,
6896,03/11/2022,2022,11,3,A,1,ONLINE,38,," 2,121 ", 400 ,
6897,13/09/2022,2022,9,13,A,1,TMK,61,Nuevo Leon," 5,758 "," 11,084 ",
6898,07/09/2022,2022,9,7,A,1,ONLINE,51,Nuevo Leon," 3,030 ", 599 ,
6899,28/11/2022,2022,11,28,A,1,TMK,54,Estado de Mexico," 2,727 ", 103 ,
6900,03/11/2022,2022,11,3,A,1,ONLINE,69,," 3,030 ", 392 ,
6901,28/10/2022,2022,10,28,A,1,ONLINE,44,Veracruz de Ignacio de la Llave," 1,697 ", 720 ,
6902,28/09/2022,2022,9,28,A,1,TMK,36,Nuevo Leon," 1,727 "," 1,239 ",
6903,28/09/2022,2022,9,28,A,1,TMK,54,Nuevo Leon," 4,545 ", 287 ,
6904,20/09/2022,2022,9,20,A,1,ONLINE,59,Veracruz de Ignacio de la Llave," 1,818 "," 1,138 ",
6905,27/10/2022,2022,10,27,A,1,ONLINE,35,Estado de Mexico, 909 , 808 ,
6906,28/11/2022,2022,11,28,A,1,TMK,74,Nuevo Leon," 2,424 "," 1,693 ",
6907,28/09/2022,2022,9,28,A,1,TMK,52,Puebla," 1,758 ", 609 ,
6908,16/11/2022,2022,11,16,A,1,ONLINE,53,Estado de Mexico," 14,545 "," 5,380 ",
6909,19/10/2022,2022,10,19,A,1,TMK,55,Michoacan de Ocampo," 1,515 ", 532 ,
6910,22/10/2022,2022,10,22,A,1,ONLINE,46,Jalisco," 1,515 ", 6 ,
6911,14/11/2022,2022,11,14,A,1,TMK,53,Nayarit, 909 ," 2,412 ",
6912,06/09/2022,2022,9,6,A,1,ONLINE,61,," 2,121 ", 79 ,
6913,10/10/2022,2022,10,10,A,1,TMK,81,Ciudad de Mexico," 1,515 ", 119 ,
6914,22/10/2022,2022,10,22,A,1,TMK,59,Baja California," 1,879 "," 1,076 ",
6915,06/10/2022,2022,10,6,A,1,ONLINE,62,Sonora," 2,424 "," 6,809 ",
